"Model","Formula","Coefficients","R_squared","BIC","RMSE_Train","RMSE_K_Fold"
"Model 1","ln_price ~ room_type",4,0.0144654148513096,39693.6847426751,0.756258345548864,0.756327211170661
"Model 2","ln_price ~ neighbourhood_group",4,0.0924517424126712,38259.3550480092,0.725720028875867,0.725780155394522
"Model 3","ln_price ~ minimum_nights",8,0.0564876800571292,38974.5835119358,0.739959641309127,0.740117833838153
"Model 4","ln_price ~ room_type + neighbourhood_group",7,0.10061689907475,38131.4013710257,0.722448023183517,0.722528354620283
"Model 5","ln_price ~ room_type + minimum_nights",11,0.0683904948088904,38782.9838555306,0.735277372258397,0.735744493380722
"Model 6","ln_price ~ neighbourhood_group + minimum_nights",11,0.126832022192484,37655.7759080546,0.711841241132899,0.712146209588121
"Model 7","ln_price ~ neighbourhood_group + minimum_nights + room_type",14,0.134705173939979,37527.474124214,0.708624720943048,0.708947324129713
"LASSO","ln_price ~.",10,0.11688310643679,NA,NA,0.722984165253169
