"Model","ME","RMSE","MAE","MPE","MAPE"
"Model_K 1",-0.0023895933947941,0.760831215910038,0.580224949464432,-1.79995310745052,10.3672548794394
"Model_K 2",-0.00617899159840639,0.729807696149169,0.554303211808932,-1.71317116869661,9.84282896172732
"Model_K 3",-0.000156313141509165,0.741364716821499,0.56044790981411,-1.68138759714242,10.0268493588874
"Model_K 4",-0.00580412162286166,0.726979330147762,0.553324917890238,-1.68645696391908,9.8085562345948
"Model_K 5",0.000535059375443567,0.736497243921219,0.557610949045649,-1.63964671555558,9.95115629593767
"Model_K 6",-0.00375360263291461,0.712727098657145,0.53474608125699,-1.60079722266418,9.49509514454989
"Model_K 7",-0.00342033606441628,0.709866612805041,0.533348960671064,-1.57570022742642,9.45421648429228
